ID,YEAR,LOC,SN,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX,CO
0,2022,Austria,0903XTR,24.918,1006.8,55.697,3.3648,22.322,1071.5,550.03,119.83,11.171,-,1.0764
1,2022,Romania,0903XTR,14.332,1024.1,81.857,3.2767,20.049,1037.3,533.7,110.05,10.692,102.01,10.196
2,2022,Sweden,0903XTR,11.548,1009.1,78.389,4.9142,28.616,1093.9,539.43,147.19,12.979,-,0.78407
3,2022,Finland,0903XTR,25.597,1003.0,77.744,3.2325,20.749,1062.1,549.95,112.79,10.624,52.225,1.6153
4,2022,Estonia,0903XTR,13.484,1011.1,96.477,4.1968,24.23,1086.1,550.08,133.71,11.921,71.915,1.4071
5,2018,Slovenia,0903XTR,16.476,1015.6,77.683,4.2751,30.943,1099.9,539.79,153.96,13.537,-,1.314
6,2018,Latvia,0903XTR,8.9485,1019.9,88.951,3.3489,23.522,1074.8,550.08,130.95,11.715,69.125,3.9838
7,2022,Denmark,0903XTR,25.887,1015.3,62.179,4.8431,30.206,1100.3,537.02,151.24,13.518,61.291,1.3873
8,2020,Belgium,0903XTR,21.246,1022.2,73.172,4.1033,31.685,1099.9,539.69,154.17,13.597,79.705,1.1141
9,2020,Ireland,0903XTR,15.489,1027.4,74.015,4.0499,32.26,1100.1,532.68,154.52,13.746,-,1.0523
10,2018,Italy,0903XTR,20.796,1003.2,61.293,3.0196,19.649,1048.5,550.11,108.68,10.363,57.161,5.364
11,2020,Latvia,0903XTR,8.7228,1008.1,100.16,4.4137,33.526,1099.9,527.39,162.93,14.055,-,0.86066
12,2021,Belgium,0903XTR,22.198,1013.1,77.417,3.9996,25.227,1089.3,550.23,133.84,12.12,-,1.7207
13,2020,Republic of Cyprus,0903XTR,9.7886,1007.3,92.976,3.1102,24.622,1087.5,550.02,136.78,11.935,-,2.0823
14,2018,Slovenia,0903XTR,19.375,1003.4,91.718,3.5068,24.318,1077.9,549.55,130.38,11.816,-,1.5788
15,2021,Finland,0903XTR,21.841,1011.6,69.84,5.0429,25.206,1089.7,550.38,133.73,12.046,-,1.4471
16,2021,Denmark,0903XTR,11.809,998.27,93.973,4.5001,24.51,1084.3,550.21,133.72,11.794,74.506,1.5347
17,2021,Slovenia,0903XTR,26.396,1006.2,63.86,4.6348,25.707,1091.7,549.72,133.55,12.075,64.378,1.1501
18,2022,Republic of Cyprus,0903XTR,27.644,1014.0,62.867,4.11,25.877,1093.6,550.0,133.77,12.25,60.194,0.19294
19,2020,Belgium,0903XTR,8.7875,1024.8,97.374,4.1909,33.374,1100.0,526.2,163.08,14.224,-,0.74386
20,2019,Romania,0903XTR,23.77,1016.0,59.152,4.6116,30.892,1100.0,542.31,153.1,13.395,59.296,1.686
21,2022,Ireland,0903XTR,22.695,1012.1,78.083,4.3172,30.37,1099.4,538.71,150.91,13.216,56.263,0.72001
