ID,YEAR,LOC,SN,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX
24488,2022,Republic of Cyprus,0903XTR,24.276,1013.3,67.643,3.9119,26.056,1093.8,549.73,134.44,12.163,-
24489,2022,Estonia,0903XTR,10.1,1015.9,100.15,3.5681,19.167,1049.8,545.97,110.74,10.415,-
24490,2020,Estonia,0903XTR,26.283,1015.1,58.595,4.9541,25.91,1092.9,549.89,133.21,12.271,-
24491,2018,Denmark,0903XTR,7.811,1015.9,73.624,2.5919,21.351,1036.2,543.81,107.77,10.355,-
24492,2021,Latvia,0903XTR,25.138,1010.3,82.853,3.6168,20.117,1057.8,550.01,109.8,10.5,51.366
24493,2020,Republic of Cyprus,0903XTR,19.214,1012.0,64.457,3.618,24.645,1087.0,549.85,132.9,11.908,68.133
24494,2019,Finland,0903XTR,18.956,1010.7,93.443,4.6758,31.066,1099.9,542.42,152.59,13.38,-
24495,2021,Portugal,0903XTR,6.5022,1019.4,95.585,2.8677,23.476,1082.3,549.84,132.83,11.739,-
24496,2018,Luxembourg,0903XTR,21.338,1009.3,85.355,3.7857,24.849,1080.0,549.87,131.61,11.85,-
24497,2018,Luxembourg,0903XTR,4.601,1024.5,66.827,4.2565,33.276,1099.6,531.36,164.37,14.13,58.441
24498,2021,Netherlands,0903XTR,8.8239,1017.5,92.101,6.0897,33.203,1100.0,528.03,162.28,14.121,-
24499,2020,Austria,0903XTR,15.719,992.83,79.781,3.3563,24.577,1085.0,550.15,133.13,11.886,83.528
24500,2022,Lithuania,0903XTR,16.443,1015.0,69.888,2.878,19.201,1056.7,550.06,111.7,10.485,70.495
24501,2020,Netherlands,0903XTR,11.277,1002.2,97.388,4.0832,31.973,1099.9,533.16,158.68,13.741,-
24502,2021,Romania,0903XTR,26.392,1012.8,74.854,4.3092,26.257,1093.4,550.23,134.79,12.395,-
24503,2018,Spain,0903XTR,16.406,1009.9,78.643,3.5456,29.479,1084.8,549.8,136.09,12.137,61.484
24504,2022,Spain,0903XTR,23.294,1013.1,80.51,3.7228,25.172,1090.2,549.87,133.82,12.094,-
24505,2021,Croatia,0903XTR,19.13,1015.2,89.927,3.9567,22.996,1076.4,550.27,124.1,11.408,66.402
24506,2022,Ireland,0903XTR,7.677,1011.2,87.784,5.1329,32.695,1099.6,528.81,163.43,13.878,65.55
24507,2018,France,0903XTR,15.405,1016.1,74.45,2.8805,19.768,1051.2,550.29,111.78,10.587,60.691
24508,2021,Finland,0903XTR,24.862,1010.2,84.444,3.9024,21.731,1067.5,550.24,116.23,11.008,52.202
24509,2018,Romania,0903XTR,13.946,1009.5,79.974,2.546,19.562,1028.2,542.31,101.09,10.023,87.437
24510,2022,Germany,0903XTR,23.383,1013.9,73.022,4.3704,30.502,1099.9,537.5,151.83,13.54,55.96
24511,2018,Germany,0903XTR,21.929,1012.6,68.991,4.2561,30.468,1099.9,542.65,151.11,13.387,-
24512,2021,Austria,0903XTR,23.584,1010.2,86.336,3.9071,23.146,1076.8,550.22,123.26,11.418,57.652
24513,2022,Malta,0903XTR,13.018,1018.2,72.552,5.0235,31.958,1100.1,530.67,158.87,13.873,66.811
24514,2019,Malta,0903XTR,11.536,1007.4,100.0,3.9994,24.92,1077.0,549.97,134.08,11.883,-
24515,2022,Romania,0903XTR,15.764,1010.5,78.323,3.5528,24.229,1086.1,550.07,133.75,11.905,-
24516,2019,Estonia,0903XTR,26.393,1006.8,81.611,3.936,23.739,1070.0,550.39,121.94,11.399,-
24517,2022,Germany,0903XTR,20.794,1013.6,57.461,3.8575,19.743,1057.8,549.76,110.73,10.48,70.948
24518,2020,France,0903XTR,19.993,1013.9,80.059,3.4092,25.297,1089.9,549.92,134.35,11.987,-
24519,2020,Latvia,0903XTR,21.25,1013.6,89.878,4.0063,25.03,1088.6,550.08,132.77,12.07,62.085
24520,2020,Finland,0903XTR,16.453,1004.1,98.634,2.6618,19.252,1052.6,550.05,108.14,10.331,-
24521,2019,Czech Republic,0903XTR,16.878,1011.8,96.18,5.5974,31.944,1100.1,539.36,153.29,13.599,-
24522,2021,Germany,0903XTR,10.5,1029.0,85.263,4.6732,24.325,1086.1,549.96,134.16,11.866,79.32
24523,2020,France,0903XTR,11.786,1003.4,98.733,3.2399,24.333,1085.0,550.25,134.18,11.918,-
24524,2018,Czech Republic,0903XTR,8.1224,1030.6,63.706,4.4262,32.877,1100.0,531.4,163.01,14.133,-
24525,2022,Belgium,0903XTR,18.19,1015.9,92.357,3.0328,19.57,1058.3,549.76,111.99,10.63,-
24526,2019,Portugal,0903XTR,27.488,1011.4,58.78,4.0641,25.443,1080.7,549.58,128.92,12.02,46.232
24527,2021,Hungary,0903XTR,25.085,1006.3,67.739,4.3467,24.015,1081.9,550.26,126.84,11.717,-
24528,2018,Luxembourg,0903XTR,28.403,1005.1,67.385,4.208,29.636,1100.0,547.08,145.87,13.08,-
24529,2019,Sweden,0903XTR,20.962,1013.6,73.19,3.8062,25.379,1081.9,549.85,133.45,12.067,-
24530,2019,Austria,0903XTR,24.159,1009.6,85.261,3.8773,24.075,1072.0,550.31,123.85,11.508,51.572
24531,2018,Luxembourg,0903XTR,25.291,1012.6,69.307,3.043,20.243,1052.8,549.96,110.14,10.645,49.976
24532,2018,Estonia,0903XTR,26.895,1014.6,46.92,4.0345,25.28,1083.5,550.05,131.5,12.13,-
24533,2020,Poland,0903XTR,8.627,1027.1,69.871,4.2859,33.19,1100.0,527.6,161.64,14.118,-
24534,2019,Germany,0903XTR,30.616,1006.2,61.081,5.2119,30.675,1100.1,545.41,146.61,13.22,-
24535,2019,Lithuania,0903XTR,27.186,1008.9,66.962,3.9706,25.119,1078.6,549.71,128.04,11.832,51.994
24536,2022,Portugal,0903XTR,15.919,1003.6,79.331,3.534,19.166,1054.6,550.01,110.73,10.42,77.117
24537,2020,Sweden,0903XTR,26.292,1012.0,49.698,6.8521,31.422,1099.8,535.42,152.06,13.561,66.846
24538,2022,Finland,0903XTR,23.105,1011.7,76.369,3.9931,25.404,1091.4,550.02,133.82,12.215,-
24539,2021,Luxembourg,0903XTR,23.031,1011.6,74.131,3.3435,20.112,1058.9,549.92,111.08,10.629,60.387
24540,2022,Belgium,0903XTR,13.784,1015.1,74.146,4.1256,21.757,1070.9,550.03,122.02,11.201,-
24541,2018,Bulgaria,0903XTR,18.219,1005.3,65.75,2.7994,19.159,1046.7,549.68,108.2,10.265,-
24542,2020,Estonia,0903XTR,12.391,1008.5,91.876,3.1124,24.205,1085.3,550.01,133.8,11.857,-
24543,2020,Slovakia,0903XTR,7.6921,1023.6,50.798,4.1805,32.792,1100.0,528.97,160.89,13.97,71.922
24544,2019,Estonia,0903XTR,22.524,1003.3,80.413,4.6004,31.363,1100.0,541.99,152.64,13.423,60.8
24545,2019,Estonia,0903XTR,28.462,1011.2,51.669,4.7334,31.166,1099.9,542.75,151.14,13.338,56.038
24546,2020,Malta,0903XTR,10.706,1016.7,87.579,3.0551,24.167,1085.2,550.09,133.96,11.805,-
24547,2022,Republic of Cyprus,0903XTR,7.9825,1027.5,83.156,3.9796,23.508,1084.3,550.09,133.8,11.941,-
24548,2020,Croatia,0903XTR,26.661,1010.2,77.458,4.7924,24.566,1084.9,550.03,127.88,11.811,55.146
24549,2021,France,0903XTR,27.001,1008.6,92.454,4.3579,26.203,1092.2,550.17,133.7,12.183,55.774
24550,2022,Estonia,0903XTR,16.812,1013.1,93.658,3.048,19.556,1057.5,550.1,111.77,10.437,64.06
24551,2018,Spain,0903XTR,24.488,1013.8,57.938,4.624,30.008,1099.9,543.96,149.79,13.315,-
24552,2021,Luxembourg,0903XTR,23.2,1016.4,85.596,4.3828,25.526,1091.1,550.35,133.64,12.191,-
